order date,Product Name,Category,Units Sold,Price, Revenue ,Discount,Units Returned,Location,Platform,,,,,
1/13/2020,Melatonin,Sleep Aid,141,33.03," ? 4,657.23 ",0.21,2,USA,Amazon,,,,,
1/13/2020,Biotin,Vitamin,161,18.87," ? 3,038.07 ",0.14,5,USA,iHerb,,,,,
1/13/2020,Green Tea Extract,Fat Burner,174,18.24," ? 3,173.76 ",0.03,2,USA,Walmart,,,,,
1/13/2020,Iron Supplement,Mineral,163,35.29," ? 5,752.27 ",0.21,2,USA,Amazon,,,,,
1/13/2020,Electrolyte Powder,Hydration,151,35.42," ? 5,348.42 ",0.07,2,USA,Amazon,,,,,
1/20/2020,Whey Protein,Protein,157,41.81," ? 6,564.17 ",0.19,0,USA,Walmart,,,,,
1/20/2020,Vitamin C,Vitamin,149,22.33," ? 3,327.17 ",0.18,5,UK,Walmart,,,,,
1/20/2020,Fish Oil,Omega,131,50," ? 6,550.00 ",0.05,1,USA,Walmart,,,,,
1/20/2020,Multivitamin,Vitamin,159,19.4," ? 3,084.60 ",0.09,2,USA,Walmart,,,,,
1/20/2020,Pre-Workout,Performance,152,48.05," ? 7,303.60 ",0.01,2,USA,iHerb,,,,,
1/20/2020,BCAA,Amino Acid,145,17.44," ? 2,528.80 ",0.08,3,UK,Amazon,,,,,
1/20/2020,Creatine,Performance,148,54.31," ? 8,037.88 ",0.15,1,UK,iHerb,,,,,
1/20/2020,Zinc,Mineral,147,10.16," ? 1,493.52 ",0.15,1,USA,iHerb,,,,,
1/20/2020,Collagen Peptides,Protein,161,39.41," ? 6,345.01 ",0.12,2,UK,Walmart,,,,,
1/20/2020,Magnesium,Mineral,126,38.07," ? 4,796.82 ",0.14,1,Canada,Amazon,,,,,
1/20/2020,Ashwagandha,Herbal,156,23.49," ? 3,664.44 ",0.21,1,Canada,iHerb,,,,,
1/20/2020,Melatonin,Sleep Aid,128,26.71," ? 3,418.88 ",0.2,2,Canada,iHerb,,,,,
1/20/2020,Biotin,Vitamin,161,32.01," ? 5,153.61 ",0.04,1,Canada,Amazon,,,,,
1/20/2020,Green Tea Extract,Fat Burner,148,21.03," ? 3,112.44 ",0.15,2,UK,Walmart,,,,,
1/20/2020,Iron Supplement,Mineral,155,41.81," ? 6,480.55 ",0.2,0,UK,iHerb,,,,,
1/20/2020,Electrolyte Powder,Hydration,147,29.19," ? 4,290.93 ",0.14,2,USA,Amazon,,,,,
1/27/2020,Whey Protein,Protein,137,26.73," ? 3,662.01 ",0.01,0,UK,Amazon,,,,,
1/27/2020,Vitamin C,Vitamin,163,35.9," ? 5,851.70 ",0.07,4,UK,iHerb,,,,,
1/27/2020,Fish Oil,Omega,141,53.64," ? 7,563.24 ",0.21,0,Canada,iHerb,,,,,
1/27/2020,Multivitamin,Vitamin,162,34.15," ? 5,532.30 ",0.03,0,UK,iHerb,,,,,
1/27/2020,Pre-Workout,Performance,158,31.84," ? 5,030.72 ",0.18,2,USA,iHerb,,,,,
1/27/2020,BCAA,Amino Acid,136,16.77," ? 2,280.72 ",0.19,2,USA,iHerb,,,,,
1/27/2020,Creatine,Performance,180,12.85," ? 2,313.00 ",0.07,1,USA,Walmart,,,,,
1/27/2020,Zinc,Mineral,140,47.97," ? 6,715.80 ",0.11,2,UK,iHerb,,,,,
1/27/2020,Collagen Peptides,Protein,126,11.68," ? 1,471.68 ",0.02,3,Canada,Walmart,,,,,
1/27/2020,Magnesium,Mineral,135,30.55," ? 4,124.25 ",0.09,3,USA,Amazon,,,,,
1/27/2020,Ashwagandha,Herbal,174,30.94," ? 5,383.56 ",0.07,2,Canada,Amazon,,,,,
1/27/2020,Melatonin,Sleep Aid,156,38.27," ? 5,970.12 ",0.12,4,UK,iHerb,,,,,
1/27/2020,Biotin,Vitamin,154,15.7," ? 2,417.80 ",0.04,1,UK,Walmart,,,,,
1/27/2020,Green Tea Extract,Fat Burner,141,38.06," ? 5,366.46 ",0.13,0,UK,iHerb,,,,,
1/27/2020,Iron Supplement,Mineral,165,13.38," ? 2,207.70 ",0.18,2,USA,iHerb,,,,,
1/27/2020,Electrolyte Powder,Hydration,129,34.23," ? 4,415.67 ",0.04,3,Canada,Amazon,,,,,
2/3/2020,Whey Protein,Protein,165,33.11," ? 5,463.15 ",0.1,2,Canada,iHerb,,,,,
2/3/2020,Vitamin C,Vitamin,152,35.63," ? 5,415.76 ",0.2,1,UK,Amazon,,,,,
2/3/2020,Fish Oil,Omega,138,18.24," ? 2,517.12 ",0.08,2,UK,Amazon,,,,,
2/3/2020,Multivitamin,Vitamin,151,53.89," ? 8,137.39 ",0.22,3,UK,Amazon,,,,,
2/3/2020,Pre-Workout,Performance,140,59.25," ? 8,295.00 ",0.19,0,UK,Amazon,,,,,
2/3/2020,BCAA,Amino Acid,126,55.46," ? 6,987.96 ",0.13,1,USA,iHerb,,,,,
2/3/2020,Creatine,Performance,132,51.11," ? 6,746.52 ",0.1,2,Canada,Amazon,,,,,
2/3/2020,Zinc,Mineral,184,36.17," ? 6,655.28 ",0.07,3,Canada,Amazon,,,,,
2/3/2020,Collagen Peptides,Protein,153,49.9," ? 7,634.70 ",0.1,3,UK,Amazon,,,,,
2/3/2020,Magnesium,Mineral,151,44.79," ? 6,763.29 ",0.2,1,Canada,Amazon,,,,,
2/3/2020,Ashwagandha,Herbal,135,19.21," ? 2,593.35 ",0.22,2,UK,Amazon,,,,,
2/3/2020,Melatonin,Sleep Aid,135,40.76," ? 5,502.60 ",0.02,3,Canada,iHerb,,,,,
2/3/2020,Biotin,Vitamin,162,58.36," ? 9,454.32 ",0.1,5,UK,Amazon,,,,,
2/3/2020,Green Tea Extract,Fat Burner,156,18.3," ? 2,854.80 ",0.22,1,UK,iHerb,,,,,
2/3/2020,Iron Supplement,Mineral,136,37.99," ? 5,166.64 ",0.13,2,USA,Amazon,,,,,
2/3/2020,Electrolyte Powder,Hydration,168,46.57," ? 7,823.76 ",0.05,3,Canada,iHerb,,,,,
2/10/2020,Whey Protein,Protein,163,45.51," ? 7,418.13 ",0.08,1,UK,iHerb,,,,,
2/10/2020,Vitamin C,Vitamin,163,27.89," ? 4,546.07 ",0.12,3,UK,Amazon,,,,,
2/10/2020,Fish Oil,Omega,144,45.6," ? 6,566.40 ",0.21,0,Canada,Amazon,,,,,
2/10/2020,Multivitamin,Vitamin,140,27.4," ? 3,836.00 ",0.11,2,UK,Walmart,,,,,
2/10/2020,Pre-Workout,Performance,155,27.62," ? 4,281.10 ",0.21,1,USA,iHerb,,,,,
2/10/2020,BCAA,Amino Acid,134,26.26," ? 3,518.84 ",0.17,0,UK,Amazon,,,,,
2/10/2020,Creatine,Performance,137,21.36," ? 2,926.32 ",0.21,1,Canada,iHerb,,,,,
2/10/2020,Zinc,Mineral,155,35.63," ? 5,522.65 ",0.08,1,UK,Amazon,,,,,
2/10/2020,Collagen Peptides,Protein,155,53.56," ? 8,301.80 ",0.19,2,UK,Walmart,,,,,
2/10/2020,Magnesium,Mineral,156,55.36," ? 8,636.16 ",0.17,2,UK,iHerb,,,,,
2/10/2020,Ashwagandha,Herbal,132,33.02," ? 4,358.64 ",0.22,1,USA,iHerb,,,,,
2/10/2020,Melatonin,Sleep Aid,146,15.54," ? 2,268.84 ",0.11,0,Canada,Amazon,,,,,
2/10/2020,Biotin,Vitamin,142,24.61," ? 3,494.62 ",0.23,2,UK,iHerb,,,,,
2/10/2020,Green Tea Extract,Fat Burner,162,58.14," ? 9,418.68 ",0.18,1,UK,Walmart,,,,,
2/10/2020,Iron Supplement,Mineral,163,53.64," ? 8,743.32 ",0.03,2,USA,Walmart,,,,,
2/10/2020,Electrolyte Powder,Hydration,151,22.09," ? 3,335.59 ",0,1,USA,Amazon,,,,,
2/17/2020,Whey Protein,Protein,143,24.86," ? 3,554.98 ",0.07,2,Canada,iHerb,,,,,
2/17/2020,Vitamin C,Vitamin,165,39.66," ? 6,543.90 ",0.22,0,Canada,iHerb,,,,,
2/17/2020,Fish Oil,Omega,129,49.73," ? 6,415.17 ",0.01,1,Canada,Walmart,,,,,
2/17/2020,Multivitamin,Vitamin,151,51.57," ? 7,787.07 ",0.15,0,USA,Amazon,,,,,
2/17/2020,Pre-Workout,Performance,131,43.46," ? 5,693.26 ",0.21,3,USA,Walmart,,,,,
2/17/2020,BCAA,Amino Acid,152,31.52," ? 4,791.04 ",0.08,1,UK,Amazon,,,,,
2/17/2020,Creatine,Performance,160,54.63," ? 8,740.80 ",0.11,2,UK,Amazon,,,,,
2/17/2020,Zinc,Mineral,155,45.13," ? 6,995.15 ",0.06,1,USA,iHerb,,,,,
2/17/2020,Collagen Peptides,Protein,132,34.38," ? 4,538.16 ",0.16,3,Canada,Walmart,,,,,
2/17/2020,Magnesium,Mineral,154,35.31," ? 5,437.74 ",0.16,0,USA,Amazon,,,,,
2/17/2020,Ashwagandha,Herbal,141,33.62," ? 4,740.42 ",0.01,0,USA,iHerb,,,,,
2/17/2020,Melatonin,Sleep Aid,144,19.8," ? 2,851.20 ",0.15,1,USA,iHerb,,,,,
2/17/2020,Biotin,Vitamin,139,10.28," ? 1,428.92 ",0,0,USA,Walmart,,,,,
2/17/2020,Green Tea Extract,Fat Burner,117,26.94," ? 3,151.98 ",0.2,1,Canada,Amazon,,,,,
2/17/2020,Iron Supplement,Mineral,150,56.59," ? 8,488.50 ",0.1,0,UK,Amazon,,,,,
2/17/2020,Electrolyte Powder,Hydration,154,27.26," ? 4,198.04 ",0.13,3,Canada,Amazon,,,,,
2/24/2020,Whey Protein,Protein,150,59.64," ? 8,946.00 ",0.03,1,UK,Walmart,,,,,
2/24/2020,Vitamin C,Vitamin,146,30.55," ? 4,460.30 ",0.23,2,UK,iHerb,,,,,
2/24/2020,Fish Oil,Omega,154,51.19," ? 7,883.26 ",0.24,3,USA,Amazon,,,,,
2/24/2020,Multivitamin,Vitamin,123,12.98," ? 1,596.54 ",0.15,2,USA,Walmart,,,,,
2/24/2020,Pre-Workout,Performance,133,32.81," ? 4,363.73 ",0.09,0,Canada,Amazon,,,,,
2/24/2020,BCAA,Amino Acid,147,13.55," ? 1,991.85 ",0.02,1,UK,Amazon,,,,,
2/24/2020,Creatine,Performance,175,43.93," ? 7,687.75 ",0.09,2,UK,Amazon,,,,,
2/24/2020,Zinc,Mineral,170,53.68," ? 9,125.60 ",0.18,0,UK,iHerb,,,,,
2/24/2020,Collagen Peptides,Protein,169,36.7," ? 6,202.30 ",0.04,0,Canada,iHerb,,,,,
2/24/2020,Magnesium,Mineral,147,34.3," ? 5,042.10 ",0.14,0,UK,iHerb,,,,,
2/24/2020,Ashwagandha,Herbal,133,27.16," ? 3,612.28 ",0.18,2,UK,iHerb,,,,,
2/24/2020,Melatonin,Sleep Aid,164,31.5," ? 5,166.00 ",0.17,1,Canada,iHerb,,,,,
2/24/2020,Biotin,Vitamin,143,32.32," ? 4,621.76 ",0.2,2,USA,iHerb,,,,,
2/24/2020,Green Tea Extract,Fat Burner,147,39.11," ? 5,749.17 ",0.09,2,UK,iHerb,,,,,
2/24/2020,Iron Supplement,Mineral,158,28.73," ? 4,539.34 ",0.04,1,UK,Amazon,,,,,
2/24/2020,Electrolyte Powder,Hydration,135,27.29," ? 3,684.15 ",0.04,0,Canada,Amazon,,,,,
3/2/2020,Whey Protein,Protein,155,27.03," ? 4,189.65 ",0.02,1,Canada,Amazon,,,,,
3/2/2020,Vitamin C,Vitamin,143,40.29," ? 5,761.47 ",0.09,0,Canada,iHerb,,,,,
3/2/2020,Fish Oil,Omega,157,34.28," ? 5,381.96 ",0.01,1,Canada,iHerb,,,,,
3/2/2020,Multivitamin,Vitamin,184,11.95," ? 2,198.80 ",0.01,1,UK,iHerb,,,,,
3/2/2020,Pre-Workout,Performance,136,47.81," ? 6,502.16 ",0.11,1,USA,Walmart,,,,,
3/2/2020,BCAA,Amino Acid,169,57.8," ? 9,768.20 ",0.08,3,Canada,Amazon,,,,,
3/2/2020,Creatine,Performance,154,59.2," ? 9,116.80 ",0.07,4,Canada,iHerb,,,,,
3/2/2020,Zinc,Mineral,146,27.02," ? 3,944.92 ",0.14,0,UK,Amazon,,,,,
3/2/2020,Collagen Peptides,Protein,152,48.1," ? 7,311.20 ",0.21,1,UK,Amazon,,,,,
3/2/2020,Magnesium,Mineral,143,19.73," ? 2,821.39 ",0.01,1,USA,Amazon,,,,,
3/2/2020,Ashwagandha,Herbal,152,39.02," ? 5,931.04 ",0.03,1,USA,Amazon,,,,,
3/2/2020,Melatonin,Sleep Aid,154,30.09," ? 4,633.86 ",0.25,3,Canada,Amazon,,,,,
3/2/2020,Biotin,Vitamin,154,41.03," ? 6,318.62 ",0.05,1,UK,Amazon,,,,,
3/2/2020,Green Tea Extract,Fat Burner,151,58.2," ? 8,788.20 ",0.23,2,USA,Walmart,,,,,
3/2/2020,Iron Supplement,Mineral,151,16.53," ? 2,496.03 ",0.2,0,UK,Amazon,,,,,
3/2/2020,Electrolyte Powder,Hydration,161,53.85," ? 8,669.85 ",0.24,0,USA,Amazon,,,,,
3/9/2020,Whey Protein,Protein,149,34.17," ? 5,091.33 ",0.22,2,USA,Walmart,,,,,
3/9/2020,Vitamin C,Vitamin,145,20.16," ? 2,923.20 ",0.19,1,Canada,iHerb,,,,,
3/9/2020,Fish Oil,Omega,150,38.86," ? 5,829.00 ",0.22,4,UK,Walmart,,,,,
3/9/2020,Multivitamin,Vitamin,147,48.23," ? 7,089.81 ",0.14,4,UK,Walmart,,,,,
3/9/2020,Pre-Workout,Performance,138,52.7," ? 7,272.60 ",0.11,3,Canada,Amazon,,,,,
3/9/2020,BCAA,Amino Acid,168,54.17," ? 9,100.56 ",0.11,2,Canada,Amazon,,,,,
3/9/2020,Creatine,Performance,154,10.96," ? 1,687.84 ",0.12,2,USA,Amazon,,,,,
3/9/2020,Zinc,Mineral,158,16.72," ? 2,641.76 ",0.07,1,USA,iHerb,,,,,
3/9/2020,Collagen Peptides,Protein,162,20.54," ? 3,327.48 ",0.24,0,UK,Amazon,,,,,
3/9/2020,Magnesium,Mineral,163,10.72," ? 1,747.36 ",0.18,3,UK,iHerb,,,,,
3/9/2020,Ashwagandha,Herbal,159,47.67," ? 7,579.53 ",0.19,2,Canada,iHerb,,,,,
3/9/2020,Melatonin,Sleep Aid,160,40.68," ? 6,508.80 ",0.02,1,UK,Walmart,,,,,
3/9/2020,Biotin,Vitamin,128,30.36," ? 3,886.08 ",0.02,1,USA,Walmart,,,,,
3/9/2020,Green Tea Extract,Fat Burner,132,57.38," ? 7,574.16 ",0.02,3,USA,Amazon,,,,,
3/9/2020,Iron Supplement,Mineral,151,13.84," ? 2,089.84 ",0.13,2,Canada,iHerb,,,,,
3/9/2020,Electrolyte Powder,Hydration,158,13.65," ? 2,156.70 ",0.1,1,Canada,Amazon,,,,,
3/16/2020,Whey Protein,Protein,140,50.17," ? 7,023.80 ",0.23,1,Canada,iHerb,,,,,
3/16/2020,Vitamin C,Vitamin,169,33.82," ? 5,715.58 ",0.06,2,Canada,Walmart,,,,,
3/16/2020,Fish Oil,Omega,145,16.15," ? 2,341.75 ",0.22,1,Canada,Amazon,,,,,
3/16/2020,Multivitamin,Vitamin,148,41.24," ? 6,103.52 ",0.02,2,UK,Amazon,,,,,
3/16/2020,Pre-Workout,Performance,140,51.13," ? 7,158.20 ",0.2,1,USA,Walmart,,,,,
3/16/2020,BCAA,Amino Acid,151,48.77," ? 7,364.27 ",0.07,1,UK,Amazon,,,,,
3/16/2020,Creatine,Performance,142,41.48," ? 5,890.16 ",0.01,2,Canada,Amazon,,,,,
3/16/2020,Zinc,Mineral,143,35.56," ? 5,085.08 ",0.01,1,USA,Amazon,,,,,
3/16/2020,Collagen Peptides,Protein,158,51.97," ? 8,211.26 ",0,1,Canada,iHerb,,,,,
3/16/2020,Magnesium,Mineral,159,15.09," ? 2,399.31 ",0.09,1,Canada,iHerb,,,,,
3/16/2020,Ashwagandha,Herbal,164,49.45," ? 8,109.80 ",0.22,1,Canada,iHerb,,,,,
3/16/2020,Melatonin,Sleep Aid,170,58.2," ? 9,894.00 ",0.02,2,Canada,Amazon,,,,,
3/16/2020,Biotin,Vitamin,150,41.64," ? 6,246.00 ",0.18,0,UK,iHerb,,,,,
3/16/2020,Green Tea Extract,Fat Burner,136,43.32," ? 5,891.52 ",0.24,2,UK,Walmart,,,,,
3/16/2020,Iron Supplement,Mineral,178,24.9," ? 4,432.20 ",0.03,3,UK,iHerb,,,,,
3/16/2020,Electrolyte Powder,Hydration,155,28," ? 4,340.00 ",0.24,1,USA,Amazon,,,,,
3/23/2020,Whey Protein,Protein,148,20.44," ? 3,025.12 ",0.09,1,UK,Walmart,,,,,
3/23/2020,Vitamin C,Vitamin,147,52.52," ? 7,720.44 ",0.05,2,Canada,Amazon,,,,,
3/23/2020,Fish Oil,Omega,149,20.79," ? 3,097.71 ",0.17,2,Canada,iHerb,,,,,
3/23/2020,Multivitamin,Vitamin,142,42.58," ? 6,046.36 ",0.18,1,Canada,Amazon,,,,,
3/23/2020,Pre-Workout,Performance,155,45.66," ? 7,077.30 ",0.05,3,Canada,Walmart,,,,,
3/23/2020,BCAA,Amino Acid,142,12.9," ? 1,831.80 ",0.03,1,UK,Walmart,,,,,
3/23/2020,Creatine,Performance,141,10.73," ? 1,512.93 ",0.09,1,UK,iHerb,,,,,
3/23/2020,Zinc,Mineral,147,30.21," ? 4,440.87 ",0.13,2,UK,Amazon,,,,,
3/23/2020,Collagen Peptides,Protein,156,48.7," ? 7,597.20 ",0.19,1,Canada,Amazon,,,,,
3/23/2020,Magnesium,Mineral,162,23.28," ? 3,771.36 ",0,1,UK,iHerb,,,,,
3/23/2020,Ashwagandha,Herbal,160,27.4," ? 4,384.00 ",0.09,0,USA,Amazon,,,,,
3/23/2020,Melatonin,Sleep Aid,143,58.71," ? 8,395.53 ",0.21,0,Canada,iHerb,,,,,
3/23/2020,Biotin,Vitamin,168,49.02," ? 8,235.36 ",0.11,1,USA,Amazon,,,,,
3/23/2020,Green Tea Extract,Fat Burner,143,21.41," ? 3,061.63 ",0.06,1,Canada,Amazon,,,,,
3/23/2020,Iron Supplement,Mineral,159,12.89," ? 2,049.51 ",0.24,4,USA,Amazon,,,,,
3/23/2020,Electrolyte Powder,Hydration,151,13.78," ? 2,080.78 ",0.09,1,UK,Amazon,,,,,
3/30/2020,Whey Protein,Protein,138,41.12," ? 5,674.56 ",0.2,1,Canada,iHerb,,,,,
3/30/2020,Vitamin C,Vitamin,135,41.8," ? 5,643.00 ",0.1,2,Canada,Amazon,,,,,
3/30/2020,Fish Oil,Omega,141,55.87," ? 7,877.67 ",0.07,1,USA,Amazon,,,,,
3/30/2020,Multivitamin,Vitamin,168,13.11," ? 2,202.48 ",0.04,0,UK,Amazon,,,,,
3/30/2020,Pre-Workout,Performance,155,16.71," ? 2,590.05 ",0.24,1,USA,Amazon,,,,,
3/30/2020,BCAA,Amino Acid,140,43.98," ? 6,157.20 ",0.02,1,UK,Walmart,,,,,
3/30/2020,Creatine,Performance,162,37.33," ? 6,047.46 ",0.11,0,USA,Amazon,,,,,
3/30/2020,Zinc,Mineral,136,20.46," ? 2,782.56 ",0.01,2,USA,Amazon,,,,,
3/30/2020,Collagen Peptides,Protein,165,58.03," ? 9,574.95 ",0.05,4,Canada,iHerb,,,,,
3/30/2020,Magnesium,Mineral,141,39.68," ? 5,594.88 ",0.02,2,UK,iHerb,,,,,
3/30/2020,Ashwagandha,Herbal,160,33.85," ? 5,416.00 ",0.18,1,USA,Walmart,,,,,
3/30/2020,Melatonin,Sleep Aid,155,18.13," ? 2,810.15 ",0.14,2,UK,iHerb,,,,,
3/30/2020,Biotin,Vitamin,150,10.45," ? 1,567.50 ",0.09,3,UK,Amazon,,,,,
3/30/2020,Green Tea Extract,Fat Burner,140,21.1," ? 2,954.00 ",0.08,3,USA,iHerb,,,,,
3/30/2020,Iron Supplement,Mineral,158,31.44," ? 4,967.52 ",0.01,1,UK,iHerb,,,,,
3/30/2020,Electrolyte Powder,Hydration,156,24.44," ? 3,812.64 ",0.1,3,USA,Amazon,,,,,
4/6/2020,Whey Protein,Protein,160,29.62," ? 4,739.20 ",0.19,3,UK,iHerb,,,,,
4/6/2020,Vitamin C,Vitamin,178,27.86," ? 4,959.08 ",0.2,1,UK,Walmart,,,,,
4/6/2020,Fish Oil,Omega,152,42.83," ? 6,510.16 ",0.06,0,USA,Amazon,,,,,
4/6/2020,Multivitamin,Vitamin,171,35.3," ? 6,036.30 ",0.06,0,USA,Amazon,,,,,
4/6/2020,Pre-Workout,Performance,116,53.34," ? 6,187.44 ",0.07,3,UK,Walmart,,,,,
4/6/2020,BCAA,Amino Acid,153,39," ? 5,967.00 ",0.13,2,USA,Walmart,,,,,
4/6/2020,Creatine,Performance,142,54.7," ? 7,767.40 ",0.24,3,USA,Walmart,,,,,
4/6/2020,Zinc,Mineral,147,33.82," ? 4,971.54 ",0.12,0,Canada,Amazon,,,,,
4/6/2020,Collagen Peptides,Protein,153,26.58," ? 4,066.74 ",0.21,0,Canada,iHerb,,,,,
4/6/2020,Magnesium,Mineral,127,57.04," ? 7,244.08 ",0.13,1,Canada,iHerb,,,,,
4/6/2020,Ashwagandha,Herbal,162,26.61," ? 4,310.82 ",0.17,2,Canada,Amazon,,,,,
4/6/2020,Melatonin,Sleep Aid,156,53.79," ? 8,391.24 ",0.13,1,USA,iHerb,,,,,
4/6/2020,Biotin,Vitamin,147,16.39," ? 2,409.33 ",0.19,0,UK,Amazon,,,,,
4/6/2020,Green Tea Extract,Fat Burner,147,12.73," ? 1,871.31 ",0.24,0,UK,Walmart,,,,,
4/6/2020,Iron Supplement,Mineral,143,21.52," ? 3,077.36 ",0,2,USA,Amazon,,,,,
4/6/2020,Electrolyte Powder,Hydration,185,43.15," ? 7,982.75 ",0.19,3,UK,iHerb,,,,,
4/13/2020,Whey Protein,Protein,147,26.26," ? 3,860.22 ",0.18,2,Canada,Walmart,,,,,
4/13/2020,Vitamin C,Vitamin,137,55.1," ? 7,548.70 ",0.2,4,USA,Walmart,,,,,
4/13/2020,Fish Oil,Omega,160,39.53," ? 6,324.80 ",0.17,0,USA,iHerb,,,,,
4/13/2020,Multivitamin,Vitamin,151,18.37," ? 2,773.87 ",0.2,2,USA,Amazon,,,,,
4/13/2020,Pre-Workout,Performance,178,23.27," ? 4,142.06 ",0.15,1,USA,Amazon,,,,,
4/13/2020,BCAA,Amino Acid,158,15.13," ? 2,390.54 ",0.13,1,Canada,iHerb,,,,,
4/13/2020,Creatine,Performance,145,51.38," ? 7,450.10 ",0.17,2,UK,Walmart,,,,,
4/13/2020,Zinc,Mineral,149,44.73," ? 6,664.77 ",0.18,3,Canada,Amazon,,,,,
4/13/2020,Collagen Peptides,Protein,142,19.76," ? 2,805.92 ",0.09,1,USA,Amazon,,,,,
4/13/2020,Magnesium,Mineral,157,38.1," ? 5,981.70 ",0.24,1,UK,iHerb,,,,,
4/13/2020,Ashwagandha,Herbal,146,49.31," ? 7,199.26 ",0.18,1,Canada,iHerb,,,,,
4/13/2020,Melatonin,Sleep Aid,140,50.86," ? 7,120.40 ",0.14,4,Canada,Walmart,,,,,
4/13/2020,Biotin,Vitamin,123,45.92," ? 5,648.16 ",0.22,0,UK,Amazon,,,,,
4/13/2020,Green Tea Extract,Fat Burner,162,29.83," ? 4,832.46 ",0.03,3,USA,Amazon,,,,,
4/13/2020,Iron Supplement,Mineral,136,24.5," ? 3,332.00 ",0.22,2,Canada,Walmart,,,,,
4/13/2020,Electrolyte Powder,Hydration,162,41.24," ? 6,680.88 ",0.14,3,USA,Walmart,,,,,
4/20/2020,Whey Protein,Protein,169,43.7," ? 7,385.30 ",0.01,2,USA,Walmart,,,,,
4/20/2020,Vitamin C,Vitamin,142,27.65," ? 3,926.30 ",0.16,1,Canada,iHerb,,,,,
4/20/2020,Fish Oil,Omega,159,13.42," ? 2,133.78 ",0.2,1,UK,iHerb,,,,,
4/20/2020,Multivitamin,Vitamin,148,26.62," ? 3,939.76 ",0.01,1,USA,Amazon,,,,,
4/20/2020,Pre-Workout,Performance,176,43.57," ? 7,668.32 ",0.16,1,USA,Walmart,,,,,
4/20/2020,BCAA,Amino Acid,147,15.07," ? 2,215.29 ",0.07,1,USA,iHerb,,,,,
4/20/2020,Creatine,Performance,148,13.38," ? 1,980.24 ",0.13,0,Canada,Walmart,,,,,
4/20/2020,Zinc,Mineral,188,30.18," ? 5,673.84 ",0.18,2,USA,iHerb,,,,,
4/20/2020,Collagen Peptides,Protein,147,29.88," ? 4,392.36 ",0.07,0,USA,iHerb,,,,,
